family_id,family_name,description,ligands,aliases,ligand_type,steric_bulk,electronic_property,coordination_mode,bite_angle_range,typical_applications,cost_category,performance_modifier,priority_rank,notes
xphos_family,XPhos Family,XPhos - Excellent for electron-deficient aryl halides,"XPhos,2-Dicyclohexylphosphino-2',4',6'-triisopropylbiphenyl","XPhos,X-Phos,2-Dicyclohexylphosphino-2',4',6'-triisopropylbiphenyl",bulky_phosphine,very_high,electron_rich,monodentate,,electron_deficient_aryl_halides,medium,1.10,1,Highly effective for challenging substrates with electron-withdrawing groups
sphos_family,SPhos Family,SPhos - Good balance of activity and selectivity,"SPhos,2-Dicyclohexylphosphino-2',6'-dimethoxybiphenyl","SPhos,S-Phos,2-Dicyclohexylphosphino-2',6'-dimethoxybiphenyl",bulky_phosphine,high,electron_rich,monodentate,,general_coupling_reactions,medium,1.05,2,Excellent general-purpose ligand with broad substrate scope
brettphos_family,BrettPhos Family,BrettPhos - Highly active for challenging substrates,"BrettPhos,2-(Dicyclohexylphosphino)3,6-dimethoxy-2',4',6'-triisopropyl-1,1'-biphenyl","BrettPhos,Brett-Phos,2-(Dicyclohexylphosphino)3,6-dimethoxy-2',4',6'-triisopropyl-1,1'-biphenyl",bulky_phosphine,very_high,electron_rich,monodentate,,sterically_hindered_substrates,high,1.15,3,Exceptional for sterically demanding transformations
tbu_family,tBuXPhos Family,tBuXPhos - Sterically demanding for selective reactions,"tBuXPhos,2-Di-tert-butylphosphino-2',4',6'-triisopropylbiphenyl","tBuXPhos,tBu-XPhos,t-BuXPhos,2-Di-tert-butylphosphino-2',4',6'-triisopropylbiphenyl",bulky_phosphine,very_high,electron_rich,monodentate,,selective_transformations,medium,1.00,4,Highly selective for challenging coupling reactions
ruphos_family,RuPhos Family,RuPhos - Versatile bulky phosphine for various applications,"RuPhos,2-Dicyclohexylphosphino-2',6'-diisopropoxybiphenyl","RuPhos,Ru-Phos,2-Dicyclohexylphosphino-2',6'-diisopropoxybiphenyl",bulky_phosphine,high,electron_rich,monodentate,,versatile_applications,medium,1.02,5,Versatile ligand for multiple reaction types
davephos_family,DavePhos Family,DavePhos - Moderate bulk for general applications,"DavePhos,2-Dicyclohexylphosphino-2'-(N,N-dimethylamino)biphenyl","DavePhos,Dave-Phos,2-Dicyclohexylphosphino-2'-(N,N-dimethylamino)biphenyl",moderate_phosphine,moderate,electron_rich,monodentate,,general_applications,low,0.95,6,Good balance of activity and cost-effectiveness
johnphos_family,JohnPhos Family,JohnPhos - Simple and effective monodentate phosphine,"JohnPhos,(2-Biphenyl)dicyclohexylphosphine","JohnPhos,John-Phos,(2-Biphenyl)dicyclohexylphosphine",moderate_phosphine,moderate,electron_rich,monodentate,,standard_coupling,low,0.92,7,Reliable and cost-effective for standard reactions
cyjohnphos_family,CyJohnPhos Family,CyJohnPhos - Cyclohexyl variant with enhanced properties,"CyJohnPhos,2-(Dicyclohexylphosphino)biphenyl","CyJohnPhos,Cy-JohnPhos,2-(Dicyclohexylphosphino)biphenyl",moderate_phosphine,moderate,electron_rich,monodentate,,enhanced_standard_coupling,low,0.93,8,Enhanced version of JohnPhos with better performance
dppf_family,DPPF Family,DPPF - Versatile bidentate ligand with good bite angle,"dppf,1,1'-Bis(diphenylphosphino)ferrocene","dppf,DPPF,1,1'-Bis(diphenylphosphino)ferrocene,Ferrocenyl bisphosphine",bidentate_phosphine,moderate,neutral,bidentate,99-100,cross_coupling_reactions,low,0.90,9,Excellent bidentate ligand with optimal bite angle
dppp_family,DPPP Family,DPPP - Flexible bidentate phosphine,"dppp,1,3-Bis(diphenylphosphino)propane","dppp,DPPP,1,3-Bis(diphenylphosphino)propane",bidentate_phosphine,low,neutral,bidentate,91-95,flexible_coordination,low,0.85,10,Flexible linker allows conformational adaptation
dppe_family,DPPE Family,DPPE - Rigid bidentate phosphine,"dppe,1,2-Bis(diphenylphosphino)ethane","dppe,DPPE,1,2-Bis(diphenylphosphino)ethane",bidentate_phosphine,low,neutral,bidentate,85-90,rigid_coordination,low,0.83,11,Rigid structure provides defined coordination geometry
binap_family,BINAP Family,BINAP - Chiral bidentate ligand for asymmetric synthesis,"BINAP,2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl","BINAP,(R)-BINAP,(S)-BINAP,2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl",bidentate_phosphine,moderate,neutral,bidentate,92-95,asymmetric_synthesis,high,0.95,12,Premier chiral ligand for enantioselective transformations
xantphos_family,Xantphos Family,Xantphos - Wide bite angle bidentate ligand,"Xantphos,4,5-Bis(diphenylphosphino)-9,9-dimethylxanthene","Xantphos,4,5-Bis(diphenylphosphino)-9,9-dimethylxanthene",bidentate_phosphine,moderate,neutral,bidentate,108-112,wide_bite_applications,medium,0.88,13,Wide bite angle enhances certain transformations
pph3_family,PPh3 Family,PPh3 - Simple and widely available monodentate phosphine,"PPh3,Triphenylphosphine","PPh3,TPP,Triphenylphosphine",simple_phosphine,low,neutral,monodentate,,basic_applications,very_low,0.80,14,Most basic and widely available phosphine ligand
ptolyl3_family,P(o-tolyl)3 Family,P(o-tolyl)3 - Moderate steric bulk simple phosphine,"P(o-tolyl)3,Tri(o-tolyl)phosphine","P(o-tolyl)3,TOP,Tri(o-tolyl)phosphine,Tri-o-tolylphosphine",simple_phosphine,moderate,slightly_rich,monodentate,,moderate_steric_bulk,low,0.82,15,Good compromise between steric bulk and reactivity
pcy3_family,PCy3 Family,PCy3 - Highly electron-rich simple phosphine,"PCy3,Tricyclohexylphosphine","PCy3,TCP,Tricyclohexylphosphine",simple_phosphine,high,electron_rich,monodentate,,electron_rich_applications,low,0.85,16,Highly electron-donating for electron-poor substrates
phen_family,Phenanthroline Family,Phenanthroline - Nitrogen-based bidentate ligand,"phen,1,10-phenanthroline","phen,phenanthroline,1,10-phenanthroline,o-phenanthroline",nitrogen_ligand,low,pi_acceptor,bidentate,80-85,nitrogen_coordination,low,0.75,17,Classic nitrogen ligand for specific metal coordination
bipy_family,Bipyridine Family,Bipyridine - Versatile nitrogen bidentate ligand,"bipy,2,2'-bipyridine","bipy,bpy,2,2'-bipyridine,bipyridyl",nitrogen_ligand,low,pi_acceptor,bidentate,78-82,versatile_nitrogen_coord,low,0.77,18,Versatile nitrogen ligand with good coordination properties
en_family,Ethylenediamine Family,Ethylenediamine - Simple nitrogen bidentate ligand,"en,ethylenediamine","en,ethylenediamine,1,2-diaminoethane",nitrogen_ligand,very_low,sigma_donor,bidentate,82-86,simple_nitrogen_coord,very_low,0.70,19,Simple and inexpensive nitrogen ligand
ipr_family,IPr Family,IPr - Bulky N-heterocyclic carbene ligand,"IPr,1,3-Bis(2,6-diisopropylphenyl)imidazol-2-ylidene","IPr,1,3-Bis(2,6-diisopropylphenyl)imidazol-2-ylidene,N-heterocyclic carbene",nhc_ligand,very_high,strong_donor,monodentate,,nhc_applications,high,1.05,20,Highly active NHC ligand for challenging transformations
imes_family,IMes Family,IMes - Moderately bulky N-heterocyclic carbene,"IMes,1,3-Bis(2,4,6-trimethylphenyl)imidazol-2-ylidene","IMes,1,3-Bis(2,4,6-trimethylphenyl)imidazol-2-ylidene",nhc_ligand,high,strong_donor,monodentate,,standard_nhc_applications,medium,1.00,21,Standard NHC ligand with good general performance
sipr_family,SIPr Family,SIPr - Saturated N-heterocyclic carbene variant,"SIPr,1,3-Bis(2,6-diisopropylphenyl)imidazolidin-2-ylidene","SIPr,1,3-Bis(2,6-diisopropylphenyl)imidazolidin-2-ylidene",nhc_ligand,very_high,strong_donor,monodentate,,saturated_nhc_applications,high,1.03,22,Saturated NHC with enhanced stability and activity
other,Alternative Conditions,No specific ligand or unidentified ligand systems,"none,nan,,unspecified,unknown","none,nan,null,unspecified,unknown,not specified",other,variable,variable,variable,,ligand_free_conditions,very_low,0.70,99,Reactions without specified ligands or ligand-free conditions
